"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"LCSC_PART_NUMBER";"LCSC_PRICE_STOCK";"MANUFACTURER_DATASHEET";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_PRICE_STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"LED estándar - SMD (montaje superficial) WL-SMCW SMDMono TpVw Waterclr 0805 Blue";"";"";"";"https://www.we-online.com/catalog/datasheet/150080BS75000.pdf";"Wurth Elektronik";"150080BS75000";"710-150080BS75000";"";"https://www.mouser.pe/ProductDetail/Wurth-Elektronik/150080BS75000?qs=sGAEpiMZZMuCm2JlHBGeflo8zLeA%2FfbJvVazZ947D6LR8N9y6U7A9Q%3D%3D";"";"";"68";"";
"MSSP";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";
"OP1";"MCP6004T-I/SL";"MCP6004T-I/SL";"SOIC127P600X175-14M";"1pA 4 1MHz SOIC-14 Operational Amplifier ROHS";"";"";"";"";"C7378";"https://www.lcsc.com/product-detail/Operational-Amplifier_Microchip-Tech-MCP6004T-I-SL_C7378.html";"https://datasheet.lcsc.com/lcsc/2304140030_Microchip-Tech-MCP6004T-I-SL----_C7378.pdf";" Microchip Tech";" MCP6004T-I/SL";"579-MCP6004T-I/SL";"";"https://www.mouser.pe/ProductDetail/Microchip-Technology/MCP6004T-I-SL?qs=Q%2Fw7XRh99ikP9NT9semfTQ%3D%3D";"";"";"";"";
"PORTAB";"";"PINHD-1X9";"1X09";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13";"";
"PORTAE_PWR";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79";"";
"PORTD_PWR";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79";"";
"Q1";"FDN340P";"FDN340P";"SOT95P237X112-3N";"Trans MOSFET P-CH 20V 2A 3-Pin SuperSOT";"FDN340P";"https://www.arrow.com/en/products/fdn340p/on-semiconductor?region=nac";"Trans MOSFET P-CH 20V 2A 3-Pin SuperSOT";"1.12mm";"";"";"https://www.onsemi.com/pdf/datasheet/fdn340p-d.pdf";"onsemi";"FDN340P";"512-FDN340P";"https://www.mouser.co.uk/ProductDetail/onsemi-Fairchild/FDN340P?qs=AMp2PTjoga9dhzFXRaqTZw%3D%3D";"";"";"";"";"";
"R1";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 10K OHM 5%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"BOURNS";"CR0402-JW-103GLF";"652-CR0402-JW-103GLF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0402-JW-103GLF?qs=%2F8Tj2%2FBce9bNso9XMxOn0g%3D%3D";"";"";"34";"R";
"R2";"100R";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"Resistores de película gruesa - SMD 100 OHM 5%";"";"";"";"https://www.mouser.pe/datasheet/2/54/cr-1858361.pdf";"Bourns";"CR0402-JW-101GLF";"652-CR0402JW-101GLF";"";"https://www.mouser.pe/ProductDetail/Bourns/CR0402-JW-101GLF?qs=sGAEpiMZZMtlubZbdhIBIB2E0CzLGwMIvsRrZ%2FwhHBg%3D";"";"";"34";"R";
"R3";"CRCW0603470RJNEA";"CRCW0603470RJNEA";"RESC1608X50N";"Thick Film Resistors - SMD 1/10watt 470ohms 5%";"";"";"Thick Film Resistors - SMD 1/10watt 470ohms 5%";"0.5mm";"";"";"";"Vishay";"CRCW0603470RJNEA";"71-CRCW0603J-470-E3";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0603470RJNEA?qs=NW1wgvpSas3lUsjQwt8mQg%3D%3D";"";"";"";"";"";
